name1,name2,time
a380ca9c8911cf1c1454b90bd79c6045,c138ed5592c96ee720365e782540c111,2
12273-121.31711-31.16115001,12274-121.31711-31.16115001,4
6213178970feff4423e71980cccb3928,8d134cb61afcce445242e8bfdac51a9f,2
122718-121.516-31.24090001,122715-121.516-31.24090001,5
2ef55e80327c9f6a04004c7066bafa5c,fda52f2fbccfca52fe12169803d93a71,2
01037-121.363-31.21560001,01012-121.363-31.21560001,24
48595c64f07c781d4bae9487c61bdda2,ec58085d22cfda5d0b527f14f13f5373,2
01014-121.48366-31.32555001,010324-121.48366-31.32555001,16
07f56779c61622ed89ffe032c7e65a44,5bf8d36987f5ddb7bca4de67efd2774d,2
12319-121.4405784-31.22425191,12299-121.4405784-31.22425191,2
6f059d53125c34e24df46d7125113b4c,18ff63ccdd33c2afb2ed8497f01e6550,2
123112-121.51984-31.23291001,010119-121.51984-31.23291001,2
3c82370f954130856139693f48b656a7,ce8f676a4fa91e74b5cad2e015820c4b,2
010114-121.46341-31.30739001,123011-121.46341-31.30739001,2
383e123ff285d30582a162e7615cf41d,6e280abd2da84c5d56ea094ca673c1df,2
12319-121.516-31.24090001,01058-121.516-31.24090001,2
f794e7305812512a0352792436e9dfd7,0b0dbf90c4dfa09719421cc5b3c3faf9,2
12288-121.56798-31.29521001,01049-121.56798-31.29521001,4
58d7c7de7198b608818a9948a27ac2e1,534db5fd5682b884d352e398efa4bcb5,2
122815-121.43806-31.26972001,010515-121.43806-31.26972001,2
d764aefe196c165fbfc404259048902e,ba92680bf0a0e53d5b90643007d0368e,2
123019-121.81724-31.11542001,123021-121.81724-31.11542001,2
1cc9e030b0328c8a33a651a3da0d247c,b16a2e2a75bfaf6459dc18932e0976b8,2
01054-121.46224-31.25575001,01057-121.46224-31.25575001,4
c274c12b7bdfaeb2ed398f5a069ac597,bf5605f257681d5a508bea7e8b857c63,2
123118-121.54492-31.17383001,122817-121.54492-31.17383001,7
753eda5d5024bfafa10607634cbf2598,18ff63ccdd33c2afb2ed8497f01e6550,2
010116-121.51984-31.23291001,010318-121.51984-31.23291001,2
6eac4289645c875b51665048334a9b92,8603842f737397a9fdfbf784f80adf8c,2
123116-121.40089-31.01647001,01018-121.40089-31.01647001,7
ccb094d5101608aff167b0c2985e244e,2c3dd4875c323352d3417330bac20768,2
010117-121.46147-31.24205001,010514-121.46147-31.24205001,4
8ab6de4e9641be279eea6aa1d4cdbe55,7966cfa5b6226e35ef7853f890085434,2
010519-121.41639-31.02958001,122819-121.41639-31.02958001,2
265f8b686b253d09388c6281e4201898,0ad91bd0e47cf96922129ead2a40b3f2,2
122724-121.40599-31.20617001,122722-121.40599-31.20617001,5
f871eaa2793075be1c3287d4502542c1,386b7efc46a3896fbed4a55611675736,2
010613-121.42723-31.25086001,122912-121.42723-31.25086001,11
819b00d1976cba4cc7997796791a2e80,2fd28a45c13373a348ce8ddbc8a15ebc,2
010322-121.46224-31.25575001,010323-121.46224-31.25575001,2
4fc6692e8a16ee6a10d3082ee8c137a3,f1b5a959c01ae2c92ddb5d035754bb12,2
12272-121.46251-31.14260001,01044-121.46251-31.14260001,13
8d134cb61afcce445242e8bfdac51a9f,8c1f0936a87cceac5c7596ed1940040a,2
122718-121.516-31.24090001,122719-121.516-31.24090001,3
6319dab9acc8f545d50c7aee74b4fe6a,ffafed5b228fd91bfdea9e6c91015e2b,2
